IATA,ICAO,Airport name,Country,City
MNW,YMDS,Macdonald Downs Airport,Australia,
MNX,SBMY,Manicoré Airport,Brazil,Manicoré
MNY,AGGO,Mono Airport,Solomon Islands,Stirling Island
MNZ,KHEF,Manassas Regional Airport/Harry P. Davis Field,United States of America,Manassas
MOA,MUMO,Orestes Acosta Airport,Cuba,Moa
MOB,KMOB,Mobile Regional Airport,United States of America,Mobile
MOC,SBMK,Mário Ribeiro Airport,Brazil,Montes Claros
MOD,KMOD,Modesto City Co-Harry Sham Field,United States of America,Modesto
MOE,VYMO,Momeik Airport,Myanmar,Mogok
MOF,WATC,Maumere(Wai Oti) Airport,Indonesia,Maumere-Flores Island
MOG,VYMS,Mong Hsat Airport,Myanmar,Mong Hsat
MOH,,Maleo Airport,Indonesia,Morowali
MOI,NCMR,Mitiaro Island Airport,Cook Islands,Mitiaro Island
MOJ,SMMO,Moengo Airstrip,Suriname,Moengo
MOL,ENML,Molde Airport,Norway,Årø
MOM,GQNL,Letfotar Airport,Mauritania,Moudjeria
MON,NZMC,Mount Cook Airport,New Zealand,
MOO,YOOM,Moomba Airport,Australia,
MOQ,FMMV,Morondava Airport,Madagascar,Morondava
MOT,KMOT,Minot International Airport,United States of America,Minot
MOU,PAMO,Mountain Village Airport,United States of America,Mountain Village
MOV,YMRB,Moranbah Airport,Australia,Moranbah
MOZ,NTTM,Moorea Airport,French Polynesia,Teavaro
MPA,FYKM,Katima Mulilo Airport,Namibia,Mpacha
MPC,WIPU,Muko Muko Airport,Indonesia,Muko Muko-Sumatra Island
MPD,OPMP,Sindhri Tharparkar Airport,Pakistan,Sindhri
MPF,AYPO,Mapoda Airport,Papua New Guinea,Mapoda
MPG,,Makini Airport,Papua New Guinea,Makini
MPH,RPVE,Godofredo P. Ramos Airport,Philippines,Malay
MPI,,Mamitupo Airport,Panama,Mamitupo
MPL,LFMT,Montpellier-Méditerranée Airport,France,Montpellier/Méditerranée
